# Generated by ChargePol,,,,,,,,
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude,
charge,time,zmin,zwidth,x,y,lon,lat,Date
pos,2106.812582,8.52029,3.83526,130.767697,-5.015672,-94.012726,29.714787,4/7/2023
pos,2106.909877,9.30414,1.366351,91.674463,-35.070922,-94.421036,29.443855,4/7/2023
pos,2117.632821,7.21268,0.55461,-37.808106,65.504542,-95.764946,30.350487,4/7/2023
pos,2132.073437,3.74027,1.20053,57.649559,-55.823911,-94.774338,29.256779,4/7/2023
pos,2144.856501,4.34722,1.48147,66.927734,-47.753092,-94.677979,29.329533,4/7/2023
pos,2149.176931,8.39742,0.8865,-40.088833,65.75337,-95.78878,30.35273,4/7/2023
pos,2150.800925,9.22118,0.61329,104.079003,-21.343929,-94.291313,29.567596,4/7/2023
pos,2155.372343,8.6836,2.18196,90.764794,0.231926,-94.427483,29.762091,4/7/2023
pos,2183.763343,11.61886,1.44655,-117.948096,-12.181316,-96.59343,29.650192,4/7/2023
pos,2184.135027,7.8158,3.11312,119.862757,0.675203,-94.125275,29.766087,4/7/2023
pos,2230.557848,4.00405,1.43098,22.8415,102.457143,-95.130577,30.683594,4/7/2023
pos,2232.088355,4.11349,0.61898,59.161207,-54.297937,-94.758636,29.270535,4/7/2023
pos,2244.004771,10.79334,1.13057,-119.16849,-39.448257,-96.603088,29.404396,4/7/2023
pos,2244.622256,8.75729,3.5331,-117.713512,-12.116358,-96.591003,29.650778,4/7/2023
pos,2258.597287,7.06049,3.66481,90.707057,2.08438,-94.427925,29.77879,4/7/2023
pos,2263.173829,11.15061,2.53206,-127.616978,-37.125866,-96.690781,29.425331,4/7/2023
pos,2269.233987,5.04565,0.53616,68.756927,-46.786558,-94.659004,29.338245,4/7/2023
pos,2274.02427,6.36093,1.3055,153.838936,26.846118,-93.768661,30.002003,4/7/2023
pos,2277.085133,7.6675,1.52127,23.767909,96.616464,-95.121002,30.630943,4/7/2023
pos,2292.142703,10.80194,2.47785,105.660347,-15.121756,-94.274315,29.623686,4/7/2023
pos,2327.1482,7.80827,2.53518,-21.683553,76.637253,-95.596741,30.450842,4/7/2023
pos,2328.807338,8.9343,1.26572,-114.375815,-30.950454,-96.55439,29.480999,4/7/2023
pos,2337.822526,11.23092,1.8426,109.143618,-14.554065,-94.238136,29.628803,4/7/2023
